station_code,Vs30
NGNH11,461.3333
NGNH13,627.3333
NGNH14,549.3333
NGNH15,997.3333
NGNH16,340.0
NGNH17,850.0
NGNH18,464.0
NGNH19,539.0
NGNH20,654.6667
NGNH21,544.6667
NGNH22,1096.0
NGNH23,613.3333
NGNH24,512.6667
NGNH25,998.0
NGNH26,315.0
NGNH27,364.6667
NGNH28,530.6667
NGNH29,601.6667
NGNH30,636.0
NGNH31,666.6667
NGNH32,331.3333
NGNH33,489.3333
NGNH34,533.6667
NGNH35,714.0
NGNH36,550.0
NGNH37,457.3333
NGNH54,685.3333
NGSH01,934.0
NGSH02,714.0
NGSH03,793.3333
NGSH04,1261.3333
NGSH05,472.0
NGSH06,1580.0
NIGH02,383.3333
NIGH03,263.3333
NIGH04,455.3333
NIGH05,260.6667
NIGH06,247.3333
NIGH07,843.3333
NIGH08,348.0
NIGH09,551.3333
NIGH10,672.6667
NIGH11,386.6667
NIGH12,605.3333
NIGH13,494.0
NIGH14,498.0
NIGH15,740.6667
NIGH16,583.3333
NIGH17,506.6667
NIGH18,368.0
NIGH19,660.0
NMRH01,522.6667
NMRH02,412.0
NMRH03,198.6667
NMRH04,185.3333
NMRH05,235.3333
OITH01,1206.6667
OITH02,1053.3333
OITH03,617.0
OITH04,623.6667
OITH05,1390.0
OITH06,762.0
OITH07,418.6667
OITH08,1430.6667
OITH09,1514.1667
OITH10,984.0
OITH11,516.6667
OKYH01,310.6667
OKYH02,1866.1333
OKYH03,730.0667
OKYH04,886.2667
OKYH05,825.3333
OKYH06,597.3333
OKYH07,1083.3333
OKYH08,840.0
OKYH09,804.3333
OKYH10,840.0
OKYH11,783.3333
OKYH12,1220.0
OKYH13,897.3333
OKYH14,1458.6667
OSKH01,500.0
OSKH02,500.0
OSKH03,638.6
OSKH04,790.4
OSKH05,190.0
OSMH01,273.3333
OSMH02,343.3333
RMIH01,324.6667
RMIH02,162.0
RMIH03,268.0
RMIH04,568.6667
RMIH05,300.0
SAGH01,1592.0
SAGH02,750.6667
SAGH03,628.0
SAGH04,1286.6667
SAGH05,1000.0
SBSH01,1166.0
SBSH02,983.3333
SBSH03,240.0
SBSH04,675.3333
SBSH05,290.0
SBSH06,480.0
SBSH07,237.3333
SBSH08,395.3333
SBSH09,767.3333
SBSH10,1064.0
SIGH01,803.3333
SIGH02,700.0
SIGH03,418.0
SIGH04,504.0
SITH05,936.6667
SITH06,580.6667
SITH07,866.0
SITH08,964.0
SITH09,1252.3333
SITH10,1173.6667
SITH11,694.0
SMNH01,628.0
SMNH02,602.3333
SMNH03,536.3333
SMNH04,593.6667
SMNH05,1166.6667
SMNH06,302.0
SMNH07,319.3333
SMNH08,1017.3333
SMNH09,722.0
SMNH10,1064.0
SMNH11,780.0
SMNH12,1344.6667
SMNH13,1396.6667
SMNH14,1213.3333
SMNH15,525.6667
SMNH16,334.6667
SOYH01,418.6667
SOYH02,118.6667
SOYH03,282.6667
SOYH04,336.0
SOYH05,725.0
SOYH06,333.6667
SOYH07,1020.6667
SOYH08,664.0
SOYH09,276.6667
SOYH10,644.0
SRCH01,386.6667
SRCH02,420.0
SRCH03,226.6667
SRCH04,401.3333
SRCH05,454.0
SRCH06,449.3333
SRCH07,441.3333
SRCH08,431.3333
SRCH09,312.0
SRCH10,1149.3333
SZOH24,1554.6667
SZOH25,347.3333
SZOH26,317.3333
SZOH28,243.3333
SZOH29,1027.6667
SZOH30,814.0
SZOH31,563.3333
SZOH32,691.6667
SZOH33,843.3333
SZOH34,521.3333
SZOH35,240.0
SZOH36,826.6667
SZOH37,706.6667
SZOH38,649.3333
SZOH39,656.0
SZOH40,710.0
SZOH41,766.0
SZOH42,225.0
SZOH43,391.6667
SZOH53,1086.6667
SZOH54,916.0
TCGH07,525.3333
TCGH08,902.0
TCGH09,612.0
TCGH10,502.6667
TCGH11,493.3333
TCGH12,416.0
TCGH13,926.0
TCGH14,1214.0
TCGH15,638.6667
TCGH16,285.3333
TCGH17,1726.6667
TKCH01,560.0
TKCH02,530.0
TKCH03,507.3333
TKCH04,480.0
TKCH05,464.0
TKCH06,316.6667
TKCH07,156.0
TKCH08,433.3333
TKCH10,1076.6667
TKCH11,486.0
TKSH01,909.6667
TKSH02,623.3333
TKSH03,893.0
TKSH04,790.0
TKSH05,443.3333
TKSH06,535.3333
TKYH12,480.0
TKYH13,1454.3333
TTRH01,488.0
TTRH02,365.6667
TTRH03,261.3333
TTRH04,261.3333
TTRH05,872.0
TTRH06,704.0
TTRH07,407.0
TYMH01,589.3333
TYMH02,160.0
TYMH04,669.3333
TYMH05,732.0
TYMH06,570.0
TYMH07,518.6667
WKYH01,923.7333
WKYH02,828.0
WKYH03,858.6667
WKYH04,1348.6667
WKYH05,511.4
WKYH06,1014.0
WKYH07,405.6667
WKYH08,406.6667
WKYH09,490.0
WKYH10,960.0
YMGH01,1586.6667
YMGH02,927.2667
YMGH03,720.5333
YMGH04,733.4667
YMGH05,730.2
YMGH06,2100.0
YMGH07,647.6
YMGH08,679.8667
YMGH09,400.0
YMGH10,922.0
YMGH11,900.0
YMGH12,1296.6667
YMGH13,468.0
YMGH14,663.3333
YMGH15,815.0
YMGH16,865.0
YMGH17,266.0
YMNH09,929.3333
YMNH10,1129.3333
YMNH11,311.6667
YMNH12,607.0
YMNH13,1080.0
YMNH14,566.6667
YMNH15,920.0
YMTH01,337.3333
YMTH02,294.6667
YMTH03,978.0
YMTH04,282.0
YMTH05,590.6667
YMTH06,308.6667
YMTH07,451.3333
YMTH08,402.6667
YMTH09,354.6667
YMTH10,407.3333
YMTH11,494.0
YMTH12,386.6667
YMTH13,739.3333
YMTH14,360.6667
YMTH15,318.0
GNMH06,232.0
IBRH08,259.0
CHB023,381.0
SZO027,641.0
CHB030,158.0
IBR019,776.0
KNG205,600.0
KNG202,600.0
KNG203,600.0
KNG204,600.0
KNG206,600.0
NIG028,321.0
TKY021,151.0
TKY028,151.0
CHB026,368.0
CHB028,234.0
KNG201,600.0
TKY013,150.0
TKY014,151.0
TKY016,153.0
TKY018,150.0
TKY022,152.0
TKY023,144.0
TKY026,142.0
YMT017,349.0
CHB025,418.0
CHB027,464.0
TKY015,144.0
TKY017,153.0
TKY019,154.0
TKY020,151.0
TKY025,216.0
CHB029,260.0
TKY024,144.0
TKY027,260.0
SZO028,510.0
