station_code,Vs30
HKD125,239.3333
HKD126,160.3333
HKD127,382.0
HKD128,163.0
HKD129,443.6667
HKD130,398.6667
HKD131,474.6667
HKD132,226.6667
HKD133,366.6667
HKD134,413.3333
HKD135,266.0
HKD136,287.6667
HKD137,679.6667
HKD138,367.6667
HKD139,484.6667
HKD140,372.0
HKD141,669.0
HKD142,228.6667
HKD143,378.6667
HKD144,234.0
HKD145,254.0
HKD146,408.6667
HKD147,300.0
HKD148,310.6667
HKD149,544.6667
HKD150,309.6667
HKD151,188.6667
HKD152,479.6667
HKD153,456.6667
HKD154,397.0
HKD155,255.0
HKD156,371.3333
HKD157,472.6667
HKD158,122.0
HKD159,398.3333
HKD160,259.0
HKD161,115.3333
HKD162,330.0
HKD163,497.6667
HKD164,450.3333
HKD165,236.3333
HKD166,641.0
HKD167,258.3333
HKD168,374.0
HKD169,467.0
HKD170,732.0
HKD171,677.0
HKD172,379.0
HKD173,279.0
HKD174,396.6667
HKD175,421.0
HKD176,409.6667
HKD177,425.0
HKD178,161.0
HKD179,190.0
HKD180,137.3333
HKD181,218.0
HKD182,348.3333
HKD183,545.3333
HKD184,310.0
HKD185,374.0
HRS001,448.3333
HRS002,377.0
HRS003,412.0
HRS004,581.6667
HRS005,497.0
HRS006,350.2
HRS007,604.0
HRS008,380.0
HRS009,492.0
HRS010,316.3333
HRS011,529.0
HRS012,363.0
HRS013,126.0
HRS014,210.0
HRS015,258.0
HRS016,523.3333
HRS017,409.6667
HRS018,153.0
HRS019,268.3333
HRS020,460.3333
HRS021,352.6667
HYG001,582.0
HYG002,298.3333
HYG003,364.3333
HYG004,736.3333
HYG005,338.3333
HYG006,596.6667
HYG007,659.6667
HYG008,411.6667
HYG009,380.6667
HYG010,323.0
HYG011,586.0
HYG012,453.3333
HYG013,361.0
HYG014,758.3333
HYG015,519.0
HYG016,209.6667
HYG017,495.0
HYG018,393.3333
HYG019,254.0
HYG020,362.3333
HYG021,592.6667
HYG022,205.6667
HYG023,346.6667
HYG024,251.6667
HYG025,314.0
HYG026,489.3333
HYG027,792.0
IBR001,251.0
IBR002,437.6667
IBR003,293.3333
IBR004,364.0
IBR005,384.3333
IBR006,318.6667
IBR007,337.6667
IBR008,546.6667
IBR009,272.0
IBR010,229.3333
IBR011,261.3333
IBR012,194.0
IBR013,319.3333
IBR014,278.0
IBR015,212.6667
IBR016,280.0
IBR017,262.0
IBR018,359.0
ISK001,669.0
ISK002,158.6667
ISK003,496.6667
ISK004,189.6667
ISK005,124.3333
ISK006,355.3333
ISK007,134.6667
ISK008,248.0
ISK009,212.6667
ISK010,497.0
ISK011,163.3333
ISK012,514.0
ISK013,417.3333
ISK014,108.0
ISK015,550.0
IWT001,265.5
